开盘,最高,最低,收盘,波幅,涨跌
8.6353,8.711,8.4874,8.6814,0.0263 ,0.0000 
8.711,8.711,8.3813,8.51,0.0393 ,-0.0197 
8.5725,8.5725,8.3172,8.3172,0.0307 ,-0.0227 
8.4143,8.5248,8.3135,8.4932,0.0254 ,0.0212 
8.4048,8.5685,8.4048,8.5162,0.0195 ,0.0027 
8.408,8.5746,8.408,8.4937,0.0198 ,-0.0026 
8.4937,8.5384,8.4088,8.4088,0.0154 ,-0.0100 
8.3807,8.5909,8.3781,8.4889,0.0254 ,0.0095 
8.4255,8.5773,8.338,8.338,0.0287 ,-0.0178 
8.3031,8.5355,8.2201,8.4406,0.0384 ,0.0123 
8.5089,8.6345,8.373,8.495,0.0312 ,0.0064 
8.4975,8.6988,8.4975,8.6288,0.0237 ,0.0158 
8.6377,8.6459,8.5319,8.6882,0.0134 ,0.0069 
8.6584,8.9343,8.6584,8.9095,0.0319 ,0.0255 
8.7599,9.0407,8.7599,8.9792,0.0321 ,0.0078 
8.8282,9.0598,8.8282,9.017,0.0262 ,0.0042 
8.9205,9.0788,8.8366,8.9215,0.0274 ,-0.0106 
8.8851,9.0971,8.8784,9.0726,0.0246 ,0.0169 
8.9633,9.0335,8.9465,8.9831,0.0097 ,-0.0099 
8.9831,9.0595,8.9197,8.9197,0.0157 ,-0.0071 
8.9197,9.1078,8.9172,9.0646,0.0214 ,0.0162 
9.1006,9.3183,9.0644,9.2807,0.0280 ,0.0238 
9.1565,9.3266,9.1565,9.3035,0.0186 ,0.0025 
9.157,9.3761,9.1559,9.2855,0.0241 ,-0.0019 
9.1791,9.1791,9.1791,9.1791,0.0000 ,-0.0115 
